source_state,source_city,destination_state,destination_city,vehicle_type,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,2W,3.3,281.0,25.0,100.0,20,0.2
Tamil Nadu,Vellore,Andhra Pradesh,Tirupati,4W,11.0,85.0,26.0,3.3,40,12.12
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,2W,22.0,229.0,5.0,22.0,60,2.73
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,Bus,7.2,483.0,48.0,11.0,75,6.82
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,3W,100.0,366.0,23.0,50.0,30,0.6
Tamil Nadu,Vellore,Tamil Nadu,Tirupati,3W,22.0,232.0,10.0,22.0,40,1.82
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,Bus,50.0,525.0,16.0,22.0,50,2.27
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,Bus,11.0,389.0,33.0,22.0,40,1.82
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,2W,22.0,586.0,33.0,50.0,40,0.8
Tamil Nadu,Madurai,Tamil Nadu,Salem,2W,50.0,21.0,31.0,50.0,60,1.2
Tamil Nadu,Vellore,Tamil Nadu,Madurai,3W,11.0,99.0,8.0,50.0,20,0.4
Andhra Pradesh,Guntur,Tamil Nadu,Coimbatore,3W,7.2,124.0,41.0,3.3,50,15.15
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,3W,50.0,84.0,29.0,50.0,50,1.0
Tamil Nadu,Chennai,Tamil Nadu,Vellore,2W,3.3,403.0,37.0,50.0,50,1.0
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,2W,22.0,105.0,24.0,7.4,50,6.76
Andhra Pradesh,Tirupati,Tamil Nadu,Tirupati,2W,22.0,534.0,23.0,22.0,60,2.73
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,2W,100.0,351.0,13.0,50.0,60,1.2
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,Bus,50.0,242.0,19.0,50.0,30,0.6
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,4W,7.2,376.0,16.0,3.3,60,18.18
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,2W,22.0,304.0,36.0,7.4,75,10.14
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,7.2,195.0,39.0,50.0,20,0.4
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,4W,150.0,244.0,11.0,22.0,30,1.36
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,3W,7.2,501.0,17.0,3.3,75,22.73
Andhra Pradesh,Tirupati,Tamil Nadu,Coimbatore,2W,7.2,203.0,5.0,22.0,75,3.41
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,2W,100.0,509.0,17.0,50.0,75,1.5
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,Bus,22.0,79.0,31.0,3.3,60,18.18
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,3W,7.2,540.0,39.0,22.0,50,2.27
Tamil Nadu,Vellore,Andhra Pradesh,Tirupati,3W,22.0,67.0,20.0,11.0,50,4.55
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,4W,3.3,396.0,13.0,7.4,40,5.41
Tamil Nadu,Chennai,Tamil Nadu,Salem,2W,3.3,126.0,6.0,100.0,60,0.6
Tamil Nadu,Vellore,Tamil Nadu,Tirupati,2W,150.0,158.0,25.0,22.0,50,2.27
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,2W,22.0,236.0,19.0,100.0,60,0.6
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,2W,100.0,152.0,31.0,50.0,60,1.2
Andhra Pradesh,Coimbatore,Andhra Pradesh,Vijayawada,4W,22.0,339.0,32.0,7.4,50,6.76
Tamil Nadu,Salem,Tamil Nadu,Salem,2W,7.2,357.0,36.0,7.4,60,8.11
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,3W,22.0,50.0,36.0,11.0,40,3.64
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,2W,50.0,470.0,28.0,50.0,40,0.8
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,2W,100.0,265.0,5.0,22.0,75,3.41
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Bus,100.0,251.0,45.0,11.0,40,3.64
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,3W,150.0,186.0,11.0,100.0,50,0.5
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,4W,3.3,470.0,33.0,11.0,40,3.64
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,2W,150.0,527.0,28.0,11.0,20,1.82
Andhra Pradesh,Coimbatore,Andhra Pradesh,Nellore,2W,150.0,574.0,37.0,100.0,20,0.2
Tamil Nadu,Madurai,Tamil Nadu,Chennai,2W,100.0,466.0,25.0,3.3,30,9.09
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,Bus,100.0,458.0,49.0,3.3,50,15.15
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,4W,150.0,163.0,34.0,100.0,50,0.5
Tamil Nadu,Madurai,Tamil Nadu,Madurai,3W,22.0,63.0,44.0,100.0,40,0.4
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,2W,150.0,312.0,23.0,50.0,75,1.5
Andhra Pradesh,Tirupati,Andhra Pradesh,Guntur,4W,11.0,112.0,38.0,22.0,60,2.73
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,3W,7.2,344.0,27.0,50.0,60,1.2
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,2W,100.0,490.0,24.0,22.0,75,3.41
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,2W,50.0,304.0,17.0,7.4,40,5.41
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,Bus,50.0,555.0,6.0,11.0,30,2.73
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,4W,11.0,120.0,23.0,7.4,75,10.14
Andhra Pradesh,Nellore,Tamil Nadu,Salem,Bus,22.0,290.0,3.0,3.3,40,12.12
Tamil Nadu,Madurai,Andhra Pradesh,Tirupati,Bus,7.2,70.0,19.0,22.0,20,0.91
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,3W,50.0,543.0,21.0,22.0,60,2.73
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,Bus,7.2,55.0,34.0,50.0,60,1.2
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,4W,3.3,258.0,47.0,100.0,60,0.6
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,2W,7.2,266.0,8.0,11.0,50,4.55
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,4W,150.0,65.0,22.0,22.0,75,3.41
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,2W,7.2,535.0,7.0,100.0,40,0.4
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,2W,7.2,515.0,38.0,11.0,75,6.82
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,Bus,7.2,48.0,17.0,3.3,60,18.18
Andhra Pradesh,Guntur,Tamil Nadu,Salem,2W,3.3,534.0,20.0,7.4,30,4.05
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,2W,50.0,304.0,47.0,100.0,50,0.5
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,Bus,11.0,563.0,41.0,100.0,30,0.3
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,Bus,7.2,452.0,25.0,11.0,60,5.45
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,2W,100.0,304.0,6.0,100.0,60,0.6
Andhra Pradesh,Salem,Andhra Pradesh,Nellore,3W,100.0,359.0,31.0,100.0,75,0.75
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,4W,150.0,49.0,37.0,100.0,60,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,Bus,11.0,13.0,15.0,22.0,50,2.27
Tamil Nadu,Chennai,Tamil Nadu,Madurai,3W,3.3,304.0,15.0,3.3,50,15.15
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,2W,22.0,335.0,26.0,50.0,20,0.4
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,2W,22.0,122.0,12.0,3.3,40,12.12
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,3W,11.0,520.0,36.0,50.0,20,0.4
Andhra Pradesh,Coimbatore,Andhra Pradesh,Vijayawada,3W,7.2,19.0,5.0,3.3,50,15.15
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,2W,7.2,330.0,37.0,7.4,40,5.41
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,4W,100.0,428.0,30.0,3.3,60,18.18
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,Bus,7.2,343.0,11.0,22.0,30,1.36
Andhra Pradesh,Kurnool,Tamil Nadu,Madurai,4W,3.3,305.0,22.0,11.0,75,6.82
Tamil Nadu,Vellore,Tamil Nadu,Tirupati,2W,50.0,279.0,30.0,7.4,20,2.7
Andhra Pradesh,Tirupati,Tamil Nadu,Tirupati,4W,11.0,87.0,26.0,11.0,40,3.64
Tamil Nadu,Chennai,Tamil Nadu,Vellore,3W,3.3,411.0,40.0,100.0,50,0.5
Tamil Nadu,Madurai,Andhra Pradesh,Tirupati,3W,3.3,32.0,15.0,50.0,75,1.5
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,4W,150.0,113.0,39.0,7.4,20,2.7
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,Bus,7.2,457.0,15.0,100.0,50,0.5
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,3W,150.0,429.0,29.0,3.3,30,9.09
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,2W,11.0,298.0,4.0,50.0,20,0.4
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,4W,7.2,127.0,38.0,50.0,20,0.4
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,22.0,24.0,29.0,22.0,75,3.41
Tamil Nadu,Vellore,Andhra Pradesh,Kurnool,Bus,50.0,139.0,27.0,100.0,30,0.3
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,Bus,7.2,292.0,5.0,50.0,60,1.2
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,3W,11.0,405.0,26.0,100.0,20,0.2
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,2W,150.0,469.0,44.0,50.0,75,1.5
Tamil Nadu,Salem,Tamil Nadu,Vellore,2W,50.0,136.0,42.0,7.4,30,4.05
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,3W,11.0,38.0,14.0,3.3,60,18.18
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,3W,50.0,414.0,25.0,11.0,30,2.73
Tamil Nadu,Chennai,Tamil Nadu,Chennai,4W,100.0,576.0,40.0,100.0,20,0.2
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,7.2,445.0,26.0,100.0,40,0.4
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,3W,11.0,395.0,7.0,50.0,30,0.6
Tamil Nadu,Coimbatore,Andhra Pradesh,Nellore,2W,11.0,188.0,24.0,22.0,60,2.73
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,3.3,186.0,29.0,100.0,60,0.6
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,3W,50.0,58.0,7.0,22.0,75,3.41
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,Bus,100.0,351.0,28.0,11.0,30,2.73
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,Bus,50.0,224.0,19.0,22.0,30,1.36
Tamil Nadu,Vellore,Tamil Nadu,Chennai,2W,50.0,304.0,16.0,3.3,40,12.12
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,3W,11.0,184.0,2.0,22.0,20,0.91
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,3W,100.0,273.0,29.0,11.0,50,4.55
Andhra Pradesh,Nellore,Andhra Pradesh,Guntur,3W,11.0,171.0,33.0,50.0,40,0.8
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,4W,50.0,17.0,1.0,100.0,50,0.5
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,4W,50.0,337.0,47.0,50.0,30,0.6
Andhra Pradesh,Nellore,Tamil Nadu,Vijayawada,Bus,150.0,273.0,34.0,7.4,50,6.76
Andhra Pradesh,Nellore,Tamil Nadu,Salem,Bus,50.0,191.0,21.0,22.0,30,1.36
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,4W,3.3,160.0,21.0,11.0,30,2.73
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,50.0,304.0,2.0,50.0,50,1.0
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,4W,7.2,395.0,3.0,50.0,75,1.5
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,2W,50.0,304.0,30.0,7.4,50,6.76
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,4W,22.0,515.0,22.0,7.4,20,2.7
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,3W,11.0,137.0,32.0,3.3,75,22.73
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,3W,3.3,561.0,2.0,22.0,60,2.73
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,3W,22.0,451.0,29.0,50.0,60,1.2
Andhra Pradesh,Tirupati,Tamil Nadu,Tirupati,3W,7.2,137.0,21.0,100.0,40,0.4
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,2W,50.0,162.0,38.0,11.0,40,3.64
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,3W,50.0,36.0,31.0,7.4,60,8.11
Tamil Nadu,Coimbatore,Andhra Pradesh,Kurnool,2W,3.3,464.0,25.0,22.0,75,3.41
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,Bus,100.0,567.0,2.0,100.0,40,0.4
Tamil Nadu,Madurai,Tamil Nadu,Chennai,4W,50.0,301.0,26.0,100.0,20,0.2
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Bus,22.0,122.0,39.0,7.4,50,6.76
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,Bus,3.3,557.0,47.0,50.0,50,1.0
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,4W,3.3,516.0,45.0,11.0,20,1.82
Andhra Pradesh,Vijayawada,Tamil Nadu,Coimbatore,3W,50.0,82.0,9.0,100.0,60,0.6
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,2W,11.0,51.0,25.0,11.0,30,2.73
Andhra Pradesh,Nellore,Andhra Pradesh,Guntur,2W,22.0,181.0,30.0,7.4,30,4.05
Tamil Nadu,Salem,Tamil Nadu,Madurai,2W,22.0,304.0,10.0,7.4,50,6.76
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,3W,11.0,90.0,23.0,22.0,20,0.91
Andhra Pradesh,Vijayawada,Tamil Nadu,Coimbatore,2W,22.0,580.0,26.0,22.0,20,0.91
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Bus,150.0,410.0,23.0,11.0,20,1.82
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,4W,3.3,507.0,23.0,11.0,40,3.64
Andhra Pradesh,Kurnool,Tamil Nadu,Madurai,2W,11.0,499.0,39.0,50.0,40,0.8
Andhra Pradesh,Nellore,Tamil Nadu,Salem,Bus,50.0,107.0,3.0,100.0,75,0.75
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,4W,150.0,506.0,4.0,50.0,75,1.5
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,2W,22.0,25.0,25.0,3.3,75,22.73
Tamil Nadu,Coimbatore,Tamil Nadu,Madurai,3W,7.2,423.0,13.0,7.4,30,4.05
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,4W,22.0,38.0,25.0,100.0,40,0.4
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,2W,22.0,248.0,10.0,3.3,75,22.73
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,2W,100.0,12.0,45.0,100.0,75,0.75
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,3W,100.0,302.0,25.0,7.4,20,2.7
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,4W,3.3,353.0,4.0,11.0,60,5.45
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,2W,50.0,389.0,6.0,11.0,60,5.45
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,3W,3.3,573.0,4.0,22.0,20,0.91
Andhra Pradesh,Kurnool,Tamil Nadu,Vellore,4W,100.0,252.0,45.0,50.0,20,0.4
Tamil Nadu,Madurai,Tamil Nadu,Coimbatore,2W,7.2,515.0,3.0,50.0,40,0.8
Tamil Nadu,Vellore,Tamil Nadu,Vellore,3W,150.0,530.0,35.0,22.0,60,2.73
Tamil Nadu,Chennai,Tamil Nadu,Vellore,4W,7.2,428.0,18.0,22.0,20,0.91
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,3W,50.0,129.0,47.0,50.0,75,1.5
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,3W,11.0,332.0,28.0,3.3,20,6.06
Andhra Pradesh,Nellore,Andhra Pradesh,Vijayawada,3W,22.0,179.0,9.0,100.0,60,0.6
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,4W,22.0,235.0,24.0,7.4,50,6.76
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,Bus,7.2,304.0,37.0,50.0,30,0.6
Tamil Nadu,Vellore,Tamil Nadu,Salem,2W,50.0,123.0,40.0,7.4,75,10.14
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,3W,11.0,577.0,40.0,7.4,40,5.41
Tamil Nadu,Madurai,Tamil Nadu,Vellore,2W,3.3,271.0,25.0,22.0,60,2.73
Andhra Pradesh,Kurnool,Tamil Nadu,Chennai,4W,11.0,372.0,45.0,100.0,20,0.2
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,4W,11.0,431.0,7.0,3.3,30,9.09
Andhra Pradesh,Tirupati,Andhra Pradesh,Guntur,2W,11.0,40.0,23.0,7.4,75,10.14
Tamil Nadu,Madurai,Tamil Nadu,Vellore,3W,150.0,91.0,25.0,50.0,40,0.8
Tamil Nadu,Vellore,Tamil Nadu,Vellore,2W,150.0,233.0,25.0,11.0,50,4.55
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,2W,150.0,457.0,24.0,50.0,50,1.0
Andhra Pradesh,Nellore,Andhra Pradesh,Guntur,2W,7.2,421.0,15.0,50.0,30,0.6
Tamil Nadu,Vellore,Andhra Pradesh,Kurnool,Bus,22.0,251.0,4.0,3.3,40,12.12
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,3W,3.3,31.0,26.0,7.4,20,2.7
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,3W,150.0,294.0,12.0,22.0,60,2.73
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,2W,22.0,16.0,29.0,11.0,50,4.55
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,3W,150.0,547.0,34.0,22.0,20,0.91
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,2W,11.0,406.0,41.0,22.0,75,3.41
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,4W,22.0,139.0,47.0,50.0,20,0.4
Tamil Nadu,Madurai,Tamil Nadu,Madurai,4W,3.3,304.0,44.0,3.3,75,22.73
Tamil Nadu,Vellore,Tamil Nadu,Vellore,4W,50.0,93.0,25.0,22.0,30,1.36
Andhra Pradesh,Tirupati,Andhra Pradesh,Nellore,4W,3.3,579.0,38.0,7.4,20,2.7
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,3.3,533.0,18.0,3.3,20,6.06
Andhra Pradesh,Nellore,Tamil Nadu,Salem,3W,3.3,318.0,8.0,22.0,20,0.91
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,4W,11.0,358.0,44.0,11.0,75,6.82
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,4W,22.0,567.0,25.0,22.0,50,2.27
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,Bus,22.0,530.0,38.0,3.3,40,12.12
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,2W,7.2,353.0,8.0,3.3,60,18.18
Andhra Pradesh,Tirupati,Tamil Nadu,Chennai,Bus,22.0,283.0,30.0,22.0,75,3.41
Tamil Nadu,Madurai,Tamil Nadu,Vellore,2W,3.3,304.0,41.0,11.0,20,1.82
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,2W,22.0,55.0,32.0,100.0,30,0.3
Andhra Pradesh,Kurnool,Tamil Nadu,Salem,2W,7.2,304.0,33.0,100.0,50,0.5
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,2W,100.0,598.0,26.0,50.0,50,1.0
