source_state,source_city,destination_state,destination_city,vehicle_type,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours,distance_per_station,charging_efficiency,energy_per_km
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,Bus,7.2,575.0,3.0,7.4,75,10.14,143.75,8.928571428571429,0.13020833333333334
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,4W,11.0,499.0,2.0,100.0,50,0.5,166.33333333333334,0.49504950495049505,0.1
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,4W,100.0,185.0,39.0,3.3,50,15.15,4.625,11.627906976744187,0.26881720430107525
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,3W,3.3,417.0,13.0,7.4,40,5.41,29.785714285714285,4.761904761904762,0.09569377990430622
Tamil Nadu,Chennai,Tamil Nadu,Unknown,2W,22.0,330.0,25.0,22.0,75,3.41,12.692307692307692,3.260869565217391,0.22658610271903323
Tamil Nadu,Salem,Tamil Nadu,Madurai,4W,150.0,101.0,34.0,100.0,20,0.2,2.8857142857142857,0.19801980198019803,0.19607843137254902
Tamil Nadu,Madurai,Tamil Nadu,Chennai,3W,150.0,199.0,22.0,7.4,40,5.41,8.652173913043478,4.761904761904762,0.2
Tamil Nadu,Chennai,Tamil Nadu,Salem,3W,100.0,63.0,43.0,7.4,30,4.05,1.4318181818181819,3.571428571428571,0.46875
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,Bus,22.0,14.0,39.0,50.0,75,1.5,0.35,1.4705882352941178,5.0
Tamil Nadu,Vellore,Tamil Nadu,Salem,3W,150.0,278.0,25.0,11.0,50,4.55,10.692307692307692,4.166666666666667,0.17921146953405018
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,Bus,7.2,355.0,37.0,7.4,40,5.41,9.342105263157896,4.761904761904762,0.11235955056179775
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,2W,22.0,67.0,1.0,7.4,40,5.41,33.5,4.761904761904762,0.5882352941176471
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,2W,3.3,281.0,25.0,100.0,20,0.2,10.807692307692308,0.19801980198019803,0.07092198581560284
Tamil Nadu,Vellore,Andhra Pradesh,Tirupati,4W,11.0,85.0,26.0,3.3,40,12.12,3.1481481481481484,9.30232558139535,0.46511627906976744
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,2W,22.0,229.0,5.0,22.0,60,2.73,38.166666666666664,2.608695652173913,0.2608695652173913
Andhra Pradesh,Kurnool,Unknown,Unknown,Bus,7.2,483.0,48.0,11.0,75,6.82,9.857142857142858,6.25,0.15495867768595042
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,3W,100.0,366.0,23.0,50.0,30,0.6,15.25,0.5882352941176471,0.08174386920980926
Tamil Nadu,Vellore,Tamil Nadu,Unknown,3W,22.0,232.0,10.0,22.0,40,1.82,21.09090909090909,1.7391304347826086,0.17167381974248927
Tamil Nadu,Unknown,Andhra Pradesh,Vijayawada,Bus,50.0,525.0,16.0,22.0,50,2.27,30.88235294117647,2.1739130434782608,0.09505703422053231
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,Bus,11.0,389.0,33.0,22.0,40,1.82,11.441176470588236,1.7391304347826086,0.10256410256410256
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,2W,22.0,586.0,33.0,50.0,40,0.8,17.235294117647058,0.7843137254901961,0.06814310051107325
Tamil Nadu,Madurai,Tamil Nadu,Salem,2W,50.0,21.0,31.0,50.0,60,1.2,0.65625,1.1764705882352942,2.727272727272727
Tamil Nadu,Vellore,Tamil Nadu,Madurai,3W,11.0,99.0,8.0,50.0,20,0.4,11.0,0.39215686274509803,0.2
Andhra Pradesh,Guntur,Tamil Nadu,Coimbatore,3W,7.2,124.0,41.0,3.3,50,15.15,2.9523809523809526,11.627906976744187,0.4
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,3W,50.0,84.0,29.0,50.0,50,1.0,2.8,0.9803921568627451,0.5882352941176471
Tamil Nadu,Chennai,Tamil Nadu,Vellore,2W,3.3,403.0,37.0,50.0,50,1.0,10.605263157894736,0.9803921568627451,0.12376237623762376
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,Unknown,22.0,105.0,24.0,7.4,50,6.76,4.2,5.9523809523809526,0.4716981132075472
Unknown,Tirupati,Tamil Nadu,Unknown,2W,22.0,534.0,23.0,22.0,60,2.73,22.25,2.608695652173913,0.11214953271028037
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,2W,100.0,351.0,13.0,50.0,60,1.2,25.071428571428573,1.1764705882352942,0.17045454545454544
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,Bus,50.0,242.0,19.0,50.0,30,0.6,12.1,0.5882352941176471,0.12345679012345678
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,4W,7.2,376.0,16.0,3.3,60,18.18,22.11764705882353,13.953488372093023,0.15915119363395225
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,2W,22.0,304.0,36.0,7.4,75,10.14,8.216216216216216,8.928571428571429,0.2459016393442623
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,7.2,195.0,39.0,50.0,20,0.4,4.875,0.39215686274509803,0.10204081632653061
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,4W,150.0,244.0,11.0,22.0,30,1.36,20.333333333333332,1.3043478260869565,0.12244897959183673
Tamil Nadu,Salem,Andhra Pradesh,Unknown,3W,7.2,501.0,17.0,3.3,75,22.73,27.833333333333332,17.441860465116278,0.14940239043824702
Andhra Pradesh,Tirupati,Tamil Nadu,Coimbatore,2W,7.2,203.0,5.0,22.0,75,3.41,33.833333333333336,3.260869565217391,0.36764705882352944
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,2W,100.0,509.0,17.0,50.0,75,1.5,28.27777777777778,1.4705882352941178,0.14705882352941177
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,Bus,22.0,79.0,31.0,3.3,60,18.18,2.46875,13.953488372093023,0.75
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,3W,7.2,540.0,39.0,22.0,50,2.27,13.5,2.1739130434782608,0.09242144177449169
Tamil Nadu,Vellore,Andhra Pradesh,Tirupati,3W,22.0,67.0,20.0,11.0,50,4.55,3.1904761904761907,4.166666666666667,0.7352941176470589
Tamil Nadu,Unknown,Tamil Nadu,Chennai,4W,3.3,396.0,13.0,7.4,40,5.41,28.285714285714285,4.761904761904762,0.10075566750629723
Tamil Nadu,Chennai,Tamil Nadu,Salem,2W,3.3,126.0,6.0,100.0,60,0.6,18.0,0.594059405940594,0.47244094488188976
Tamil Nadu,Vellore,Tamil Nadu,Unknown,2W,150.0,158.0,25.0,22.0,50,2.27,6.076923076923077,2.1739130434782608,0.31446540880503143
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,2W,22.0,236.0,19.0,100.0,60,0.6,11.8,0.594059405940594,0.25316455696202533
Tamil Nadu,Coimbatore,Andhra Pradesh,Unknown,2W,100.0,152.0,31.0,50.0,60,1.2,4.75,1.1764705882352942,0.39215686274509803
Andhra Pradesh,Unknown,Andhra Pradesh,Vijayawada,4W,22.0,339.0,32.0,7.4,50,6.76,10.272727272727273,5.9523809523809526,0.14705882352941177
Tamil Nadu,Salem,Tamil Nadu,Salem,2W,7.2,357.0,36.0,7.4,60,8.11,9.64864864864865,7.142857142857142,0.16759776536312848
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,3W,22.0,50.0,36.0,11.0,40,3.64,1.3513513513513513,3.3333333333333335,0.7843137254901961
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,2W,50.0,470.0,28.0,50.0,40,0.8,16.20689655172414,0.7843137254901961,0.08492569002123142
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,Unknown,100.0,265.0,5.0,22.0,75,3.41,44.166666666666664,3.260869565217391,0.2819548872180451
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Bus,100.0,251.0,45.0,11.0,40,3.64,5.456521739130435,3.3333333333333335,0.15873015873015872
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,3W,150.0,186.0,11.0,100.0,50,0.5,15.5,0.49504950495049505,0.26737967914438504
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,4W,3.3,470.0,33.0,11.0,40,3.64,13.823529411764707,3.3333333333333335,0.08492569002123142
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,2W,150.0,527.0,28.0,11.0,20,1.82,18.17241379310345,1.6666666666666667,0.03787878787878788
Andhra Pradesh,Unknown,Andhra Pradesh,Nellore,2W,150.0,574.0,37.0,100.0,20,0.2,15.105263157894736,0.19801980198019803,0.034782608695652174
Tamil Nadu,Madurai,Tamil Nadu,Chennai,2W,100.0,466.0,25.0,3.3,30,9.09,17.923076923076923,6.976744186046512,0.06423982869379015
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,Bus,100.0,458.0,49.0,3.3,50,15.15,9.16,11.627906976744187,0.10893246187363835
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,4W,150.0,163.0,34.0,100.0,50,0.5,4.6571428571428575,0.49504950495049505,0.3048780487804878
Tamil Nadu,Madurai,Tamil Nadu,Madurai,3W,22.0,63.0,44.0,100.0,40,0.4,1.4,0.39603960396039606,0.625
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,2W,150.0,312.0,23.0,50.0,75,1.5,13.0,1.4705882352941178,0.23961661341853036
Andhra Pradesh,Tirupati,Andhra Pradesh,Guntur,4W,11.0,112.0,38.0,22.0,60,2.73,2.871794871794872,2.608695652173913,0.5309734513274337
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,3W,7.2,344.0,27.0,50.0,60,1.2,12.285714285714286,1.1764705882352942,0.17391304347826086
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,2W,100.0,490.0,24.0,22.0,75,3.41,19.6,3.260869565217391,0.15274949083503056
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,2W,50.0,304.0,17.0,7.4,40,5.41,16.88888888888889,4.761904761904762,0.13114754098360656
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,Bus,50.0,555.0,6.0,11.0,30,2.73,79.28571428571429,2.5,0.0539568345323741
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,4W,11.0,120.0,23.0,7.4,75,10.14,5.0,8.928571428571429,0.6198347107438017
Andhra Pradesh,Nellore,Tamil Nadu,Salem,Bus,22.0,290.0,3.0,3.3,40,12.12,72.5,9.30232558139535,0.13745704467353953
Tamil Nadu,Madurai,Andhra Pradesh,Tirupati,Bus,7.2,70.0,19.0,22.0,20,0.91,3.5,0.8695652173913043,0.28169014084507044
Unknown,Guntur,Andhra Pradesh,Kurnool,3W,50.0,543.0,21.0,22.0,60,2.73,24.681818181818183,2.608695652173913,0.11029411764705882
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,Bus,7.2,55.0,34.0,50.0,60,1.2,1.5714285714285714,1.1764705882352942,1.0714285714285714
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,4W,3.3,258.0,47.0,100.0,60,0.6,5.375,0.594059405940594,0.23166023166023167
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,2W,7.2,266.0,8.0,11.0,50,4.55,29.555555555555557,4.166666666666667,0.18726591760299627
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,4W,150.0,65.0,22.0,22.0,75,3.41,2.8260869565217392,3.260869565217391,1.1363636363636365
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,2W,7.2,535.0,7.0,100.0,40,0.4,66.875,0.39603960396039606,0.07462686567164178
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,2W,7.2,515.0,38.0,11.0,75,6.82,13.205128205128204,6.25,0.14534883720930233
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,Bus,7.2,48.0,17.0,3.3,60,18.18,2.6666666666666665,13.953488372093023,1.2244897959183674
Andhra Pradesh,Guntur,Tamil Nadu,Salem,2W,3.3,534.0,20.0,7.4,30,4.05,25.428571428571427,3.571428571428571,0.056074766355140186
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,2W,50.0,304.0,47.0,100.0,50,0.5,6.333333333333333,0.49504950495049505,0.16393442622950818
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,Bus,11.0,563.0,41.0,100.0,30,0.3,13.404761904761905,0.297029702970297,0.05319148936170213
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,Bus,7.2,452.0,25.0,11.0,60,5.45,17.384615384615383,5.0,0.13245033112582782
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,Unknown,100.0,304.0,6.0,100.0,60,0.6,43.42857142857143,0.594059405940594,0.19672131147540983
Unknown,Salem,Andhra Pradesh,Nellore,3W,100.0,359.0,31.0,100.0,75,0.75,11.21875,0.7425742574257426,0.20833333333333334
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,4W,150.0,49.0,37.0,100.0,60,0.6,1.2894736842105263,0.594059405940594,1.2
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,Bus,11.0,13.0,15.0,22.0,50,2.27,0.8125,2.1739130434782608,3.5714285714285716
Tamil Nadu,Chennai,Tamil Nadu,Madurai,3W,3.3,304.0,15.0,3.3,50,15.15,19.0,11.627906976744187,0.16393442622950818
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,2W,22.0,335.0,26.0,50.0,20,0.4,12.407407407407407,0.39215686274509803,0.05952380952380952
Tamil Nadu,Unknown,Unknown,Salem,2W,22.0,122.0,12.0,3.3,40,12.12,9.384615384615385,9.30232558139535,0.3252032520325203
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,3W,11.0,520.0,36.0,50.0,20,0.4,14.054054054054054,0.39215686274509803,0.03838771593090211
Andhra Pradesh,Unknown,Andhra Pradesh,Vijayawada,3W,7.2,19.0,5.0,3.3,50,15.15,3.1666666666666665,11.627906976744187,2.5
Andhra Pradesh,Kurnool,Unknown,Coimbatore,2W,7.2,330.0,37.0,7.4,40,5.41,8.68421052631579,4.761904761904762,0.12084592145015106
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,4W,100.0,428.0,30.0,3.3,60,18.18,13.806451612903226,13.953488372093023,0.13986013986013987
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,Bus,7.2,343.0,11.0,22.0,30,1.36,28.583333333333332,1.3043478260869565,0.0872093023255814
Andhra Pradesh,Kurnool,Tamil Nadu,Madurai,4W,3.3,305.0,22.0,11.0,75,6.82,13.26086956521739,6.25,0.24509803921568626
Tamil Nadu,Vellore,Tamil Nadu,Unknown,2W,50.0,279.0,30.0,7.4,20,2.7,9.0,2.380952380952381,0.07142857142857142
Andhra Pradesh,Tirupati,Unknown,Tirupati,4W,11.0,87.0,26.0,11.0,40,3.64,3.2222222222222223,3.3333333333333335,0.45454545454545453
Tamil Nadu,Chennai,Tamil Nadu,Vellore,3W,3.3,411.0,40.0,100.0,50,0.5,10.024390243902438,0.49504950495049505,0.12135922330097088
Tamil Nadu,Madurai,Andhra Pradesh,Tirupati,3W,3.3,32.0,15.0,50.0,75,1.5,2.0,1.4705882352941178,2.272727272727273
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,4W,150.0,113.0,39.0,7.4,20,2.7,2.825,2.380952380952381,0.17543859649122806
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,Bus,7.2,457.0,15.0,100.0,50,0.5,28.5625,0.49504950495049505,0.1091703056768559
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,3W,150.0,429.0,29.0,3.3,30,9.09,14.3,6.976744186046512,0.06976744186046512
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,2W,11.0,298.0,4.0,50.0,20,0.4,59.6,0.39215686274509803,0.06688963210702341
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,4W,7.2,127.0,38.0,50.0,20,0.4,3.2564102564102564,0.39215686274509803,0.15625
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,22.0,24.0,29.0,22.0,75,3.41,0.8,3.260869565217391,3.0
Tamil Nadu,Vellore,Andhra Pradesh,Kurnool,Bus,50.0,139.0,27.0,100.0,30,0.3,4.964285714285714,0.297029702970297,0.21428571428571427
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,Bus,7.2,292.0,5.0,50.0,60,1.2,48.666666666666664,1.1764705882352942,0.20477815699658702
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,3W,11.0,405.0,26.0,100.0,20,0.2,15.0,0.19801980198019803,0.04926108374384237
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,2W,150.0,469.0,44.0,50.0,75,1.5,10.422222222222222,1.4705882352941178,0.1595744680851064
Tamil Nadu,Salem,Tamil Nadu,Vellore,Unknown,50.0,136.0,42.0,7.4,30,4.05,3.1627906976744184,3.571428571428571,0.21897810218978103
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,3W,11.0,38.0,14.0,3.3,60,18.18,2.533333333333333,13.953488372093023,1.5384615384615385
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,3W,50.0,414.0,25.0,11.0,30,2.73,15.923076923076923,2.5,0.07228915662650602
Tamil Nadu,Chennai,Tamil Nadu,Chennai,4W,100.0,576.0,40.0,100.0,20,0.2,14.048780487804878,0.19801980198019803,0.03466204506065858
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,7.2,445.0,26.0,100.0,40,0.4,16.48148148148148,0.39603960396039606,0.08968609865470852
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,3W,11.0,395.0,7.0,50.0,30,0.6,49.375,0.5882352941176471,0.07575757575757576
Tamil Nadu,Coimbatore,Andhra Pradesh,Nellore,2W,11.0,188.0,24.0,22.0,60,2.73,7.52,2.608695652173913,0.31746031746031744
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,3.3,186.0,29.0,100.0,60,0.6,6.2,0.594059405940594,0.32085561497326204
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,3W,50.0,58.0,7.0,22.0,75,3.41,7.25,3.260869565217391,1.271186440677966
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,Bus,100.0,351.0,28.0,11.0,30,2.73,12.10344827586207,2.5,0.08522727272727272
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,Bus,50.0,224.0,19.0,22.0,30,1.36,11.2,1.3043478260869565,0.13333333333333333
Tamil Nadu,Vellore,Tamil Nadu,Chennai,2W,50.0,304.0,16.0,3.3,40,12.12,17.88235294117647,9.30232558139535,0.13114754098360656
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,3W,11.0,184.0,2.0,22.0,20,0.91,61.333333333333336,0.8695652173913043,0.10810810810810811
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,3W,100.0,273.0,29.0,11.0,50,4.55,9.1,4.166666666666667,0.18248175182481752
Andhra Pradesh,Nellore,Andhra Pradesh,Guntur,3W,11.0,171.0,33.0,50.0,40,0.8,5.029411764705882,0.7843137254901961,0.23255813953488372
Andhra Pradesh,Kurnool,Andhra Pradesh,Unknown,4W,50.0,17.0,1.0,100.0,50,0.5,8.5,0.49504950495049505,2.7777777777777777
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,4W,50.0,337.0,47.0,50.0,30,0.6,7.020833333333333,0.5882352941176471,0.08875739644970414
Andhra Pradesh,Nellore,Unknown,Vijayawada,Bus,150.0,273.0,34.0,7.4,50,6.76,7.8,5.9523809523809526,0.18248175182481752
Andhra Pradesh,Nellore,Tamil Nadu,Salem,Bus,50.0,191.0,21.0,22.0,30,1.36,8.681818181818182,1.3043478260869565,0.15625
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,4W,3.3,160.0,21.0,11.0,30,2.73,7.2727272727272725,2.5,0.18633540372670807
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,50.0,304.0,2.0,50.0,50,1.0,101.33333333333333,0.9803921568627451,0.16393442622950818
