source_city,destination_city,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours,charging_demand,station_density,high_load_route,vehicle_type_3W,vehicle_type_4W,vehicle_type_Bus,charger_type_Slow,charger_type_Ultra-Fast,source_state_Tamil Nadu,destination_state_Tamil Nadu
Nellore,Kurnool,150.0,498.0,33.0,11.0,20,1.82,10.989010989010989,0.06626506024096386,0,False,False,True,False,False,False,False
Coimbatore,Chennai,22.0,482.0,23.0,100.0,60,0.6,100.0,0.04771784232365145,1,False,True,False,False,True,True,True
Guntur,Madurai,22.0,153.0,26.0,100.0,30,0.3,100.0,0.16993464052287582,1,False,True,False,False,True,False,True
Salem,Kurnool,7.2,313.0,12.0,7.4,40,5.41,7.393715341959334,0.038338658146964855,0,False,False,False,True,False,True,False
Nellore,Vijayawada,11.0,217.0,3.0,11.0,20,1.82,10.989010989010989,0.013824884792626729,0,False,False,False,False,False,False,True
Chennai,Salem,3.3,429.0,38.0,11.0,30,2.73,10.989010989010989,0.08857808857808858,0,False,True,False,False,False,True,True
Madurai,Chennai,3.3,304.0,2.0,22.0,60,2.73,21.978021978021978,0.006578947368421052,1,False,False,False,False,False,True,True
Vellore,Vijayawada,3.3,589.0,33.0,7.4,60,8.11,7.398273736128237,0.05602716468590832,0,False,False,True,True,False,False,False
Coimbatore,Nellore,3.3,469.0,22.0,50.0,40,0.8,50.0,0.046908315565031986,1,False,False,False,False,True,True,False
Tirupati,Madurai,11.0,36.0,34.0,50.0,50,1.0,50.0,0.9444444444444444,1,True,False,False,False,True,False,True
Vijayawada,Salem,3.3,462.0,48.0,3.3,50,15.15,3.3003300330033003,0.1038961038961039,0,False,True,False,True,False,False,True
Nellore,Chennai,3.3,181.0,28.0,22.0,20,0.91,21.978021978021978,0.15469613259668508,1,False,False,True,False,False,False,True
Vellore,Nellore,3.3,46.0,25.0,3.3,60,18.18,3.3003300330033003,0.5434782608695652,0,False,False,True,True,False,True,False
Coimbatore,Nellore,3.3,125.0,21.0,7.4,75,10.14,7.396449704142012,0.168,0,False,False,True,True,False,False,False
Chennai,Nellore,7.2,575.0,3.0,7.4,75,10.14,7.396449704142012,0.0052173913043478265,0,False,False,True,True,False,True,False
Coimbatore,Coimbatore,11.0,499.0,2.0,100.0,50,0.5,100.0,0.004008016032064128,1,False,True,False,False,True,True,True
Chennai,Vijayawada,100.0,185.0,39.0,3.3,50,15.15,3.3003300330033003,0.21081081081081082,0,False,True,False,True,False,True,False
Guntur,Madurai,3.3,417.0,13.0,7.4,40,5.41,7.393715341959334,0.03117505995203837,0,True,False,False,True,False,False,True
Chennai,Tirupati,22.0,330.0,25.0,22.0,75,3.41,21.994134897360702,0.07575757575757576,1,False,False,False,False,False,True,True
Salem,Madurai,150.0,101.0,34.0,100.0,20,0.2,100.0,0.33663366336633666,1,False,True,False,False,True,True,True
Madurai,Chennai,150.0,199.0,22.0,7.4,40,5.41,7.393715341959334,0.11055276381909548,0,True,False,False,True,False,True,True
Chennai,Salem,100.0,63.0,43.0,7.4,30,4.05,7.407407407407407,0.6825396825396826,0,True,False,False,True,False,True,True
Chennai,Tirupati,22.0,14.0,39.0,50.0,75,1.5,50.0,2.7857142857142856,1,False,False,True,False,True,True,False
Vellore,Salem,150.0,278.0,25.0,11.0,50,4.55,10.989010989010989,0.08992805755395683,0,True,False,False,False,False,True,True
Chennai,Nellore,7.2,355.0,37.0,7.4,40,5.41,7.393715341959334,0.10422535211267606,0,False,False,True,True,False,True,False
Chennai,Kurnool,22.0,67.0,1.0,7.4,40,5.41,7.393715341959334,0.014925373134328358,0,False,False,False,True,False,True,False
Vijayawada,Vellore,3.3,281.0,25.0,100.0,20,0.2,100.0,0.08896797153024912,1,False,False,False,False,True,False,True
Vellore,Tirupati,11.0,85.0,26.0,3.3,40,12.12,3.3003300330033007,0.3058823529411765,0,False,True,False,True,False,True,False
Vellore,Vijayawada,22.0,229.0,5.0,22.0,60,2.73,21.978021978021978,0.021834061135371178,1,False,False,False,False,False,True,False
Kurnool,Tirupati,7.2,483.0,48.0,11.0,75,6.82,10.997067448680351,0.09937888198757763,0,False,False,True,False,False,False,True
Kurnool,Vijayawada,100.0,366.0,23.0,50.0,30,0.6,50.0,0.06284153005464481,1,True,False,False,False,True,False,False
Vellore,Tirupati,22.0,232.0,10.0,22.0,40,1.82,21.978021978021978,0.04310344827586207,1,True,False,False,False,False,True,True
Coimbatore,Vijayawada,50.0,525.0,16.0,22.0,50,2.27,22.026431718061673,0.030476190476190476,1,False,False,True,False,False,True,False
Coimbatore,Chennai,11.0,389.0,33.0,22.0,40,1.82,21.978021978021978,0.08483290488431877,1,False,False,True,False,False,True,True
Nellore,Nellore,22.0,586.0,33.0,50.0,40,0.8,50.0,0.05631399317406143,1,False,False,False,False,True,False,False
Madurai,Salem,50.0,21.0,31.0,50.0,60,1.2,50.0,1.4761904761904763,1,False,False,False,False,True,True,True
Vellore,Madurai,11.0,99.0,8.0,50.0,20,0.4,50.0,0.08080808080808081,1,True,False,False,False,True,True,True
Guntur,Coimbatore,7.2,124.0,41.0,3.3,50,15.15,3.3003300330033003,0.33064516129032256,0,True,False,False,True,False,False,True
Guntur,Vellore,50.0,84.0,29.0,50.0,50,1.0,50.0,0.34523809523809523,1,True,False,False,False,True,False,True
Chennai,Vellore,3.3,403.0,37.0,50.0,50,1.0,50.0,0.09181141439205956,1,False,False,False,False,True,True,True
Nellore,Chennai,22.0,105.0,24.0,7.4,50,6.76,7.396449704142012,0.22857142857142856,0,False,False,False,True,False,False,True
Tirupati,Tirupati,22.0,534.0,23.0,22.0,60,2.73,21.978021978021978,0.04307116104868914,1,False,False,False,False,False,False,True
Vijayawada,Vijayawada,100.0,351.0,13.0,50.0,60,1.2,50.0,0.037037037037037035,1,False,False,False,False,True,False,False
Vijayawada,Kurnool,50.0,242.0,19.0,50.0,30,0.6,50.0,0.07851239669421488,1,False,False,True,False,True,False,False
Salem,Kurnool,7.2,376.0,16.0,3.3,60,18.18,3.3003300330033003,0.0425531914893617,0,False,True,False,True,False,True,False
Nellore,Kurnool,22.0,304.0,36.0,7.4,75,10.14,7.396449704142012,0.11842105263157894,0,False,False,False,True,False,False,False
Vijayawada,Tirupati,7.2,195.0,39.0,50.0,20,0.4,50.0,0.2,1,False,False,False,False,True,False,False
Coimbatore,Tirupati,150.0,244.0,11.0,22.0,30,1.36,22.058823529411764,0.045081967213114756,1,False,True,False,False,False,True,False
Salem,Tirupati,7.2,501.0,17.0,3.3,75,22.73,3.2996040475142983,0.033932135728542916,0,True,False,False,True,False,True,False
Tirupati,Coimbatore,7.2,203.0,5.0,22.0,75,3.41,21.994134897360702,0.024630541871921183,1,False,False,False,False,False,False,True
Nellore,Tirupati,100.0,509.0,17.0,50.0,75,1.5,50.0,0.03339882121807466,1,False,False,False,False,True,False,False
Vijayawada,Tirupati,22.0,79.0,31.0,3.3,60,18.18,3.3003300330033003,0.3924050632911392,0,False,False,True,True,False,False,False
Kurnool,Nellore,7.2,540.0,39.0,22.0,50,2.27,22.026431718061673,0.07222222222222222,1,True,False,False,False,False,False,False
Vellore,Tirupati,22.0,67.0,20.0,11.0,50,4.55,10.989010989010989,0.29850746268656714,0,True,False,False,False,False,True,False
Coimbatore,Chennai,3.3,396.0,13.0,7.4,40,5.41,7.393715341959334,0.03282828282828283,0,False,True,False,True,False,True,True
Chennai,Salem,3.3,126.0,6.0,100.0,60,0.6,100.0,0.047619047619047616,1,False,False,False,False,True,True,True
Vellore,Tirupati,150.0,158.0,25.0,22.0,50,2.27,22.026431718061673,0.15822784810126583,1,False,False,False,False,False,True,True
Madurai,Kurnool,22.0,236.0,19.0,100.0,60,0.6,100.0,0.08050847457627118,1,False,False,False,False,True,True,False
Coimbatore,Tirupati,100.0,152.0,31.0,50.0,60,1.2,50.0,0.20394736842105263,1,False,False,False,False,True,True,False
Coimbatore,Vijayawada,22.0,339.0,32.0,7.4,50,6.76,7.396449704142012,0.0943952802359882,0,False,True,False,True,False,False,False
Salem,Salem,7.2,357.0,36.0,7.4,60,8.11,7.398273736128237,0.10084033613445378,0,False,False,False,True,False,True,True
Coimbatore,Salem,22.0,50.0,36.0,11.0,40,3.64,10.989010989010989,0.72,0,True,False,False,False,False,True,True
Chennai,Vijayawada,50.0,470.0,28.0,50.0,40,0.8,50.0,0.059574468085106386,1,False,False,False,False,True,True,False
Vellore,Nellore,100.0,265.0,5.0,22.0,75,3.41,21.994134897360702,0.018867924528301886,1,False,False,False,False,False,True,False
Guntur,Guntur,100.0,251.0,45.0,11.0,40,3.64,10.989010989010989,0.17928286852589642,0,False,False,True,False,False,False,False
Vijayawada,Vijayawada,150.0,186.0,11.0,100.0,50,0.5,100.0,0.05913978494623656,1,True,False,False,False,True,False,False
Vijayawada,Madurai,3.3,470.0,33.0,11.0,40,3.64,10.989010989010989,0.07021276595744681,0,False,True,False,False,False,False,True
Madurai,Vijayawada,150.0,527.0,28.0,11.0,20,1.82,10.989010989010989,0.05313092979127135,0,False,False,False,False,False,True,False
Coimbatore,Nellore,150.0,574.0,37.0,100.0,20,0.2,100.0,0.06445993031358885,1,False,False,False,False,True,False,False
Madurai,Chennai,100.0,466.0,25.0,3.3,30,9.09,3.3003300330033003,0.0536480686695279,0,False,False,False,True,False,True,True
Tirupati,Tirupati,100.0,458.0,49.0,3.3,50,15.15,3.3003300330033003,0.10698689956331878,0,False,False,True,True,False,False,False
Coimbatore,Salem,150.0,163.0,34.0,100.0,50,0.5,100.0,0.2085889570552147,1,False,True,False,False,True,True,True
Madurai,Madurai,22.0,63.0,44.0,100.0,40,0.4,100.0,0.6984126984126984,1,True,False,False,False,True,True,True
Nellore,Chennai,150.0,312.0,23.0,50.0,75,1.5,50.0,0.07371794871794872,1,False,False,False,False,True,False,True
Tirupati,Guntur,11.0,112.0,38.0,22.0,60,2.73,21.978021978021978,0.3392857142857143,1,False,True,False,False,False,False,False
Coimbatore,Coimbatore,7.2,344.0,27.0,50.0,60,1.2,50.0,0.07848837209302326,1,True,False,False,False,True,True,True
Guntur,Kurnool,100.0,490.0,24.0,22.0,75,3.41,21.994134897360702,0.04897959183673469,1,False,False,False,False,False,False,False
Guntur,Madurai,50.0,304.0,17.0,7.4,40,5.41,7.393715341959334,0.05592105263157895,0,False,False,False,True,False,False,True
Salem,Kurnool,50.0,555.0,6.0,11.0,30,2.73,10.989010989010989,0.010810810810810811,0,False,False,True,False,False,True,False
Tirupati,Madurai,11.0,120.0,23.0,7.4,75,10.14,7.396449704142012,0.19166666666666668,0,False,True,False,True,False,False,True
Nellore,Salem,22.0,290.0,3.0,3.3,40,12.12,3.3003300330033007,0.010344827586206896,0,False,False,True,True,False,False,True
Madurai,Tirupati,7.2,70.0,19.0,22.0,20,0.91,21.978021978021978,0.2714285714285714,1,False,False,True,False,False,True,False
Guntur,Kurnool,50.0,543.0,21.0,22.0,60,2.73,21.978021978021978,0.03867403314917127,1,True,False,False,False,False,False,False
Vellore,Vijayawada,7.2,55.0,34.0,50.0,60,1.2,50.0,0.6181818181818182,1,False,False,True,False,True,True,False
Guntur,Vellore,3.3,258.0,47.0,100.0,60,0.6,100.0,0.1821705426356589,1,False,True,False,False,True,False,True
Nellore,Vellore,7.2,266.0,8.0,11.0,50,4.55,10.989010989010989,0.03007518796992481,0,False,False,False,False,False,False,True
Tirupati,Kurnool,150.0,65.0,22.0,22.0,75,3.41,21.994134897360702,0.3384615384615385,1,False,True,False,False,False,False,False
Salem,Coimbatore,7.2,535.0,7.0,100.0,40,0.4,100.0,0.013084112149532711,1,False,False,False,False,True,True,True
Nellore,Kurnool,7.2,515.0,38.0,11.0,75,6.82,10.997067448680351,0.07378640776699029,0,False,False,False,False,False,False,False
Vijayawada,Tirupati,7.2,48.0,17.0,3.3,60,18.18,3.3003300330033003,0.3541666666666667,0,False,False,True,True,False,False,False
Guntur,Salem,3.3,534.0,20.0,7.4,30,4.05,7.407407407407407,0.03745318352059925,0,False,False,False,True,False,False,True
Guntur,Madurai,50.0,304.0,47.0,100.0,50,0.5,100.0,0.15460526315789475,1,False,False,False,False,True,False,True
Coimbatore,Vijayawada,11.0,563.0,41.0,100.0,30,0.3,100.0,0.07282415630550622,1,False,False,True,False,True,True,False
Kurnool,Coimbatore,7.2,452.0,25.0,11.0,60,5.45,11.009174311926605,0.05530973451327434,0,False,False,True,False,False,False,True
Chennai,Vijayawada,100.0,304.0,6.0,100.0,60,0.6,100.0,0.019736842105263157,1,False,False,False,False,True,True,False
Salem,Nellore,100.0,359.0,31.0,100.0,75,0.75,100.0,0.08635097493036212,1,True,False,False,False,True,False,False
Chennai,Nellore,150.0,49.0,37.0,100.0,60,0.6,100.0,0.7551020408163265,1,False,True,False,False,True,True,False
Coimbatore,Salem,11.0,13.0,15.0,22.0,50,2.27,22.026431718061673,1.1538461538461537,1,False,False,True,False,False,True,True
Chennai,Madurai,3.3,304.0,15.0,3.3,50,15.15,3.3003300330033003,0.049342105263157895,0,True,False,False,True,False,True,True
Guntur,Madurai,22.0,335.0,26.0,50.0,20,0.4,50.0,0.07761194029850746,1,False,False,False,False,True,False,True
Coimbatore,Salem,22.0,122.0,12.0,3.3,40,12.12,3.3003300330033007,0.09836065573770492,0,False,False,False,True,False,True,True
Guntur,Tirupati,11.0,520.0,36.0,50.0,20,0.4,50.0,0.06923076923076923,1,True,False,False,False,True,False,False
Coimbatore,Vijayawada,7.2,19.0,5.0,3.3,50,15.15,3.3003300330033003,0.2631578947368421,0,True,False,False,True,False,False,False
Kurnool,Coimbatore,7.2,330.0,37.0,7.4,40,5.41,7.393715341959334,0.11212121212121212,0,False,False,False,True,False,False,True
Vijayawada,Nellore,100.0,428.0,30.0,3.3,60,18.18,3.3003300330033003,0.07009345794392523,0,False,True,False,True,False,False,False
Tirupati,Kurnool,7.2,343.0,11.0,22.0,30,1.36,22.058823529411764,0.03206997084548105,1,False,False,True,False,False,False,False
Kurnool,Madurai,3.3,305.0,22.0,11.0,75,6.82,10.997067448680351,0.07213114754098361,0,False,True,False,False,False,False,True
Vellore,Tirupati,50.0,279.0,30.0,7.4,20,2.7,7.4074074074074066,0.10752688172043011,0,False,False,False,True,False,True,True
Tirupati,Tirupati,11.0,87.0,26.0,11.0,40,3.64,10.989010989010989,0.2988505747126437,0,False,True,False,False,False,False,True
Chennai,Vellore,3.3,411.0,40.0,100.0,50,0.5,100.0,0.09732360097323602,1,True,False,False,False,True,True,True
Madurai,Tirupati,3.3,32.0,15.0,50.0,75,1.5,50.0,0.46875,1,True,False,False,False,True,True,False
Vijayawada,Vijayawada,150.0,113.0,39.0,7.4,20,2.7,7.4074074074074066,0.34513274336283184,0,False,True,False,True,False,False,False
Nellore,Madurai,7.2,457.0,15.0,100.0,50,0.5,100.0,0.03282275711159737,1,False,False,True,False,True,False,True
Vijayawada,Kurnool,150.0,429.0,29.0,3.3,30,9.09,3.3003300330033003,0.0675990675990676,0,True,False,False,True,False,False,False
Chennai,Tirupati,11.0,298.0,4.0,50.0,20,0.4,50.0,0.013422818791946308,1,False,False,False,False,True,True,False
Coimbatore,Vellore,7.2,127.0,38.0,50.0,20,0.4,50.0,0.2992125984251969,1,False,True,False,False,True,True,True
Kurnool,Tirupati,22.0,24.0,29.0,22.0,75,3.41,21.994134897360702,1.2083333333333333,1,False,False,True,False,False,False,False
Vellore,Kurnool,50.0,139.0,27.0,100.0,30,0.3,100.0,0.19424460431654678,1,False,False,True,False,True,True,False
Nellore,Kurnool,7.2,292.0,5.0,50.0,60,1.2,50.0,0.017123287671232876,1,False,False,True,False,True,False,False
Coimbatore,Guntur,11.0,405.0,26.0,100.0,20,0.2,100.0,0.06419753086419754,1,True,False,False,False,True,True,False
Guntur,Chennai,150.0,469.0,44.0,50.0,75,1.5,50.0,0.09381663113006397,1,False,False,False,False,True,False,True
Salem,Vellore,50.0,136.0,42.0,7.4,30,4.05,7.407407407407407,0.3088235294117647,0,False,False,False,True,False,True,True
Guntur,Chennai,11.0,38.0,14.0,3.3,60,18.18,3.3003300330033003,0.3684210526315789,0,True,False,False,True,False,False,True
Madurai,Vijayawada,50.0,414.0,25.0,11.0,30,2.73,10.989010989010989,0.06038647342995169,0,True,False,False,False,False,True,False
Chennai,Chennai,100.0,576.0,40.0,100.0,20,0.2,100.0,0.06944444444444445,1,False,True,False,False,True,True,True
Vijayawada,Tirupati,7.2,445.0,26.0,100.0,40,0.4,100.0,0.058426966292134834,1,False,False,False,False,True,False,False
Kurnool,Vijayawada,11.0,395.0,7.0,50.0,30,0.6,50.0,0.017721518987341773,1,True,False,False,False,True,False,False
Coimbatore,Nellore,11.0,188.0,24.0,22.0,60,2.73,21.978021978021978,0.1276595744680851,1,False,False,False,False,False,True,False
Kurnool,Tirupati,3.3,186.0,29.0,100.0,60,0.6,100.0,0.15591397849462366,1,False,False,True,False,True,False,False
Guntur,Kurnool,50.0,58.0,7.0,22.0,75,3.41,21.994134897360702,0.1206896551724138,1,True,False,False,False,False,False,False
Vijayawada,Chennai,100.0,351.0,28.0,11.0,30,2.73,10.989010989010989,0.07977207977207977,0,False,False,True,False,False,False,True
Vijayawada,Vijayawada,50.0,224.0,19.0,22.0,30,1.36,22.058823529411764,0.08482142857142858,1,False,False,True,False,False,False,False
Vellore,Chennai,50.0,304.0,16.0,3.3,40,12.12,3.3003300330033007,0.05263157894736842,0,False,False,False,True,False,True,True
Coimbatore,Vijayawada,11.0,184.0,2.0,22.0,20,0.91,21.978021978021978,0.010869565217391304,1,True,False,False,False,False,True,False
Chennai,Coimbatore,100.0,273.0,29.0,11.0,50,4.55,10.989010989010989,0.10622710622710622,0,True,False,False,False,False,True,True
Nellore,Guntur,11.0,171.0,33.0,50.0,40,0.8,50.0,0.19298245614035087,1,True,False,False,False,True,False,False
Kurnool,Tirupati,50.0,17.0,1.0,100.0,50,0.5,100.0,0.058823529411764705,1,False,True,False,False,True,False,False
Nellore,Nellore,50.0,337.0,47.0,50.0,30,0.6,50.0,0.1394658753709199,1,False,True,False,False,True,False,False
Nellore,Vijayawada,150.0,273.0,34.0,7.4,50,6.76,7.396449704142012,0.12454212454212454,0,False,False,True,True,False,False,True
Nellore,Salem,50.0,191.0,21.0,22.0,30,1.36,22.058823529411764,0.1099476439790576,1,False,False,True,False,False,False,True
Coimbatore,Guntur,3.3,160.0,21.0,11.0,30,2.73,10.989010989010989,0.13125,0,False,True,False,False,False,True,False
Tirupati,Madurai,50.0,304.0,2.0,50.0,50,1.0,50.0,0.006578947368421052,1,False,False,True,False,True,False,True
Tirupati,Kurnool,7.2,395.0,3.0,50.0,75,1.5,50.0,0.007594936708860759,1,False,True,False,False,True,False,False
Kurnool,Kurnool,50.0,304.0,30.0,7.4,50,6.76,7.396449704142012,0.09868421052631579,0,False,False,False,True,False,False,False
Tirupati,Salem,22.0,515.0,22.0,7.4,20,2.7,7.4074074074074066,0.04271844660194175,0,False,True,False,True,False,False,True
Chennai,Coimbatore,11.0,137.0,32.0,3.3,75,22.73,3.2996040475142983,0.23357664233576642,0,True,False,False,True,False,True,True
Nellore,Chennai,3.3,561.0,2.0,22.0,60,2.73,21.978021978021978,0.0035650623885918,1,True,False,False,False,False,False,True
Vijayawada,Nellore,22.0,451.0,29.0,50.0,60,1.2,50.0,0.06430155210643015,1,True,False,False,False,True,False,False
Tirupati,Tirupati,7.2,137.0,21.0,100.0,40,0.4,100.0,0.15328467153284672,1,True,False,False,False,True,False,True
Coimbatore,Coimbatore,50.0,162.0,38.0,11.0,40,3.64,10.989010989010989,0.2345679012345679,0,False,False,False,False,False,True,True
Vellore,Coimbatore,50.0,36.0,31.0,7.4,60,8.11,7.398273736128237,0.8611111111111112,0,True,False,False,True,False,True,True
Coimbatore,Kurnool,3.3,464.0,25.0,22.0,75,3.41,21.994134897360702,0.05387931034482758,1,False,False,False,False,False,True,False
Guntur,Tirupati,100.0,567.0,2.0,100.0,40,0.4,100.0,0.003527336860670194,1,False,False,True,False,True,False,False
Madurai,Chennai,50.0,301.0,26.0,100.0,20,0.2,100.0,0.08637873754152824,1,False,True,False,False,True,True,True
Nellore,Nellore,22.0,122.0,39.0,7.4,50,6.76,7.396449704142012,0.319672131147541,0,False,False,True,True,False,False,False
Coimbatore,Tirupati,3.3,557.0,47.0,50.0,50,1.0,50.0,0.0843806104129264,1,False,False,True,False,True,True,False
Madurai,Kurnool,3.3,516.0,45.0,11.0,20,1.82,10.989010989010989,0.0872093023255814,0,False,True,False,False,False,True,False
Vijayawada,Coimbatore,50.0,82.0,9.0,100.0,60,0.6,100.0,0.10975609756097561,1,True,False,False,False,True,False,True
Chennai,Vijayawada,11.0,51.0,25.0,11.0,30,2.73,10.989010989010989,0.49019607843137253,0,False,False,False,False,False,True,False
Nellore,Guntur,22.0,181.0,30.0,7.4,30,4.05,7.407407407407407,0.16574585635359115,0,False,False,False,True,False,False,False
Salem,Madurai,22.0,304.0,10.0,7.4,50,6.76,7.396449704142012,0.03289473684210526,0,False,False,False,True,False,True,True
Vijayawada,Kurnool,11.0,90.0,23.0,22.0,20,0.91,21.978021978021978,0.25555555555555554,1,True,False,False,False,False,False,False
Vijayawada,Coimbatore,22.0,580.0,26.0,22.0,20,0.91,21.978021978021978,0.04482758620689655,1,False,False,False,False,False,False,True
Guntur,Guntur,150.0,410.0,23.0,11.0,20,1.82,10.989010989010989,0.05609756097560976,0,False,False,True,False,False,False,False
Coimbatore,Tirupati,3.3,507.0,23.0,11.0,40,3.64,10.989010989010989,0.045364891518737675,0,False,True,False,False,False,True,False
Kurnool,Madurai,11.0,499.0,39.0,50.0,40,0.8,50.0,0.0781563126252505,1,False,False,False,False,True,False,True
Nellore,Salem,50.0,107.0,3.0,100.0,75,0.75,100.0,0.028037383177570093,1,False,False,True,False,True,False,True
Guntur,Kurnool,150.0,506.0,4.0,50.0,75,1.5,50.0,0.007905138339920948,1,False,True,False,False,True,False,False
Vijayawada,Vellore,22.0,25.0,25.0,3.3,75,22.73,3.2996040475142983,1.0,0,False,False,False,True,False,False,True
Coimbatore,Madurai,7.2,423.0,13.0,7.4,30,4.05,7.407407407407407,0.030732860520094562,0,True,False,False,True,False,True,True
Nellore,Madurai,22.0,38.0,25.0,100.0,40,0.4,100.0,0.6578947368421053,1,False,True,False,False,True,False,True
Tirupati,Salem,22.0,248.0,10.0,3.3,75,22.73,3.2996040475142983,0.04032258064516129,0,False,False,False,True,False,False,True
Salem,Tirupati,100.0,12.0,45.0,100.0,75,0.75,100.0,3.75,1,False,False,False,False,True,True,False
Coimbatore,Salem,100.0,302.0,25.0,7.4,20,2.7,7.4074074074074066,0.08278145695364239,0,True,False,False,True,False,True,True
Vellore,Vijayawada,3.3,353.0,4.0,11.0,60,5.45,11.009174311926605,0.0113314447592068,0,False,True,False,False,False,True,False
Coimbatore,Tirupati,50.0,389.0,6.0,11.0,60,5.45,11.009174311926605,0.015424164524421594,0,False,False,False,False,False,True,False
Nellore,Vellore,3.3,573.0,4.0,22.0,20,0.91,21.978021978021978,0.006980802792321117,1,True,False,False,False,False,False,True
Kurnool,Vellore,100.0,252.0,45.0,50.0,20,0.4,50.0,0.17857142857142858,1,False,True,False,False,True,False,True
